title,type,degree,frequency,description
BEVÖLKERUNG,STAKEHOLDER,8,3,"BEVÖLKERUNG refers to the Austrian general public or general population, whose acceptance, participation, and benefit are considered central to strategy objectives and the successful integration of PV (photovoltaic) systems, particularly on buildings, parking lots, and construction facilities."
STROMNETZ,INFRASTRUCTURE,8,3,"The electricity grid (Stromnetz) is the infrastructure to which PV installations are to be connected, described as fundamental for secure renewable energy supply and stable networks, and identified as enabling the integration and distribution of large shares of PV-generated electricity. The supplied descriptions note that the Stromnetz is being incorporated with digitalization and data exchange capabilities and faces challenges from increased renewables, market coupling, and electrification, with calls for simplified and less bureaucratic access."
PHOTOVOLTAIKANLAGEN,TECHNOLOGY,8,2,"PHOTOVOLTAIKANLAGEN refers to photovoltaic installations or PV systems in Austria, which are concrete installations designed for operation over more than 25 years and whose deployment targets both private individuals and companies, including installations with orientations optimized for edge times (Randzeiten) or winter periods."
PHOTOVOLTAIK-ERZEUGUNGSSPITZEN,CONSTRAINT,8,1,Constraint type: technical; Geographic scope: Austria; Source meaning: Peaks in PV generation can no longer be fully absorbed by the public electricity grid.
INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP),POLICY,8,3,"The INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP), or Integrated Austrian Network Infrastructure Plan, is a strategic infrastructure plan for Austria that provides a framework for the integrated development of transmission network infrastructure for electricity and gas to support the transition to a climate-neutral energy system. The NIP outlines area potentials for photovoltaic (PV) installation on buildings, infrastructures, and open areas, with regular updates and alignment with demand estimates. Its potential assessments also serve as a basis for figures and scenarios used in the Photovoltaic Strategy. The policy is described as ongoing/adopted, in force/implemented (implied as existing in the text), with the specific implementation status stated as ongoing/adopted or in force/implemented, and the status is noted as unknown in one description. The jurisdiction is Austria."
QUALIFIZIERTE FACHKRÄFTE,STAKEHOLDER,8,1,"Qualified skilled workers needed for the expansion and operation of the photovoltaic sector in Austria, whose securing is an explicit policy and training goal."
KLIMA- UND ENERGIEFONDS,ORGANIZATION,8,5,"The KLIMA- UND ENERGIEFONDS (Climate and Energy Fund) is an Austrian organization responsible for supporting energy communities and innovation in the solar sector through targeted funding initiatives, including programmes for storage initiatives and flagship photovoltaic (PV) projects. It commissions studies and market analysis for PV deployment, is referenced as a co-provider of PV expansion funding in 2023 under the EAG, and was responsible for launching the subsidy programme for large storage in 2023."
E-CONTROL,ORGANIZATION,8,5,"E-CONTROL, also referred to as E-Control, is the Austrian energy regulatory authority identified as the publisher or responsible party for the Aktionsplan Netzanschluss (July 2023), as well as for studies on flexibility, action plans for grid connection, and contributions to network development and system integration. E-Control is named as a key actor necessary for implementing photovoltaic (PV) expansion measures, planning and operating the electricity grid, and fulfilling other relevant roles in the Austrian PV transformation, particularly regarding grid connection and operation of renewable installations."
AGRI-PV-ANLAGE,TECHNOLOGY,7,3,"AGRI-PV-ANLAGE refers to a form of photovoltaic installation integrated into agriculture that enables dual use of agricultural land for both farming and electricity production, allowing continued predominant agricultural activity on the same area. This type of photovoltaic system is referenced for its potential contributions to acceptance, biodiversity, enhanced land-use efficiency, and providing new income opportunities for agriculture."
MADE IN EUROPE-BONUS,SUPPORT_SCHEME,7,1,The “Made in Europe-Bonus” is a national Austrian measure that offers a subsidy premium of up to 20% of the funding level for PV projects using components produced in Europe.
HEIMISCHE PV-WIRTSCHAFT,POLICY,7,1,Policy type: strategy/action field; Jurisdiction: Austria; Status: outlined as an action area in the PV strategy; Source meaning: The domestic PV industry is the focus of a defined action area to secure value creation and economic opportunity.
BMK-AUSBILDUNGSINITIATIVE „JUST TRANSITION“,SUPPORT_SCHEME,6,1,"Training initiative by Austria’s BMK focusing on education and upskilling in photovoltaics, electrotechnology/installation, and roofing to provide necessary competencies for the energy transition."
PV-TECHNOLOGIEN,TECHNOLOGY,6,1,"Photovoltaic technologies, including new and improved PV solutions and components, targeted by research, innovation, and industrial support measures."
AUSBBAUPOTENTIAL PHOTOVOLTAIK — 41 TWH BY 2040,TARGET,6,1,Target: PV expansion potential; Target value: 41; Unit: TWh; Deadline: 2040; Geographic scope: Austria; Status: scenario; Source meaning: The Integrated Austrian Network Infrastructure Plan (ÖNIP/NIP) identifies a technical deployment potential of 41 TWh PV electricity generation by 2040.
ENERGIEWENDE,POLICY,6,1,"Policy type: broad transition process; Jurisdiction: Austria; Status: ongoing; Source meaning: The energy transition refers to the fundamental transformation of Austria's energy system, in which the expansion of photovoltaics plays a central and cross-sectoral role."
"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK)",ORGANIZATION,6,2,"The BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK), also known in English as the Austrian Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology, is responsible for climate, environmental, and energy policy, and is referenced as the publisher or commissioner of several policy documents and statistical market reports, including serving as the publisher and initiator of the Austrian Photovoltaic Strategy."
ENERGIEGEMEINSCHAFTEN (EGS),STAKEHOLDER,6,1,"Energy Communities (EGs) are collective models in Austria enabling joint photovoltaic expansion, shared production and use of renewable energy, and participation in energy markets."
UMWELTFÖRDERUNGSGESETZ (UFG),POLICY,6,1,"Policy type: law; Jurisdiction: Austria; Status: in force; Source meaning: Federal Environmental Support Act covers promotion of water management, environmental measures, contaminated site remediation, biodiversity, and climate protection measures in Austria."
GEBÄUDEINTEGRIERTE PV,TECHNOLOGY,5,1,"Building-integrated PV including showcase and flagship projects implemented across Austria, referenced for mobilizing sealed surfaces."
EUROPÄISCHE UNION (EU),GEOGRAPHIC_AREA,5,3,"The European Union (EU), referred to as EUROPÄISCHE UNION (EU), acts as the jurisdiction for overarching renewable energy targets and requirements implemented in Austria, serves as the collective jurisdiction for referenced EU-level industrial, research, and regulatory initiatives related to photovoltaics, solar manufacturing, funding, and value chain resilience, and is the jurisdiction referenced in connection with the Net Zero Industry Act, the EU Taxonomy, and cross-border solar production initiatives."
