id,title,type,description,text_unit_ids,frequency,degree,source_supported,primary_classification,expected_type,duplicate_or_alias_of,description_problem,likely_pipeline_stage,audit_notes
e98eba67-de7e-48c3-9248-33aab6dde068,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP),POLICY,"The INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP), or Integrated Austrian Network Infrastructure Plan, is a strategic infrastructure plan for Austria that provides a framework for the integrated development of transmission network infrastructure for electricity and gas to support the transition to a climate-neutral energy system. The NIP outlines area potentials for photovoltaic (PV) installation on buildings, infrastructures, and open areas, with regular updates and alignment with demand estimates. Its potential assessments also serve as a basis for figures and scenarios used in the Photovoltaic Strategy. The policy is described as ongoing/adopted, in force/implemented (implied as existing in the text), with the specific implementation status stated as ongoing/adopted or in force/implemented, and the status is noted as unknown in one description. The jurisdiction is Austria.","['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302']",3,8,,,,,,,
fb892cb8-1d3a-4a03-bfe5-421145ea9bb5,STROMNETZ,INFRASTRUCTURE,"The electricity grid (Stromnetz) is the infrastructure to which PV installations are to be connected, described as fundamental for secure renewable energy supply and stable networks, and identified as enabling the integration and distribution of large shares of PV-generated electricity. The supplied descriptions note that the Stromnetz is being incorporated with digitalization and data exchange capabilities and faces challenges from increased renewables, market coupling, and electrification, with calls for simplified and less bureaucratic access.","['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302']",3,8,,,,,,,
e2f95653-dfcc-4133-8911-f2b8d1d36c31,BEVÖLKERUNG,STAKEHOLDER,"BEVÖLKERUNG refers to the Austrian general public or general population, whose acceptance, participation, and benefit are considered central to strategy objectives and the successful integration of PV (photovoltaic) systems, particularly on buildings, parking lots, and construction facilities.","['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0']",3,8,,,,,,,
b17b43ce-7c2f-4318-a096-7f261d88149e,PHOTOVOLTAIKANLAGEN,TECHNOLOGY,"PHOTOVOLTAIKANLAGEN refers to photovoltaic installations or PV systems in Austria, which are concrete installations designed for operation over more than 25 years and whose deployment targets both private individuals and companies, including installations with orientations optimized for edge times (Randzeiten) or winter periods.","['06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76']",2,8,,,,,,,
64ac5869-3eb3-4d44-8cab-25b3a153ea3d,PHOTOVOLTAIK-ERZEUGUNGSSPITZEN,CONSTRAINT,Constraint type: technical; Geographic scope: Austria; Source meaning: Peaks in PV generation can no longer be fully absorbed by the public electricity grid.,['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],1,8,,,,,,,
5c0b5489-5e30-4ac9-b2c7-5e4a028fd0ad,QUALIFIZIERTE FACHKRÄFTE,STAKEHOLDER,"Qualified skilled workers needed for the expansion and operation of the photovoltaic sector in Austria, whose securing is an explicit policy and training goal.",['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],1,8,,,,,,,
077391bf-ba15-4ade-9a43-449741d7f5be,AGRI-PV-ANLAGE,TECHNOLOGY,"AGRI-PV-ANLAGE refers to a form of photovoltaic installation integrated into agriculture that enables dual use of agricultural land for both farming and electricity production, allowing continued predominant agricultural activity on the same area. This type of photovoltaic system is referenced for its potential contributions to acceptance, biodiversity, enhanced land-use efficiency, and providing new income opportunities for agriculture.","['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'
 '23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0']",3,7,,,,,,,
038eab2c-1e92-4fd3-b8e2-37308ce8bc87,HEIMISCHE PV-WIRTSCHAFT,POLICY,Policy type: strategy/action field; Jurisdiction: Austria; Status: outlined as an action area in the PV strategy; Source meaning: The domestic PV industry is the focus of a defined action area to secure value creation and economic opportunity.,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'],1,7,,,,,,,
09835944-04a4-4b78-91be-7ff07e42d616,MADE IN EUROPE-BONUS,SUPPORT_SCHEME,The “Made in Europe-Bonus” is a national Austrian measure that offers a subsidy premium of up to 20% of the funding level for PV projects using components produced in Europe.,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],1,7,,,,,,,
86fa5f94-0db2-4a5f-8d24-d32bb067610b,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK)",ORGANIZATION,"The BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK), also known in English as the Austrian Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology, is responsible for climate, environmental, and energy policy, and is referenced as the publisher or commissioner of several policy documents and statistical market reports, including serving as the publisher and initiator of the Austrian Photovoltaic Strategy.","['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",2,6,,,,,,,
589135be-da0c-4065-9498-2c1fcb1b55ca,AUSBBAUPOTENTIAL PHOTOVOLTAIK — 41 TWH BY 2040,TARGET,Target: PV expansion potential; Target value: 41; Unit: TWh; Deadline: 2040; Geographic scope: Austria; Status: scenario; Source meaning: The Integrated Austrian Network Infrastructure Plan (ÖNIP/NIP) identifies a technical deployment potential of 41 TWh PV electricity generation by 2040.,['f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'],1,6,,,,,,,
82f75c95-4fd3-41de-ad1d-0c925729a052,ENERGIEWENDE,POLICY,"Policy type: broad transition process; Jurisdiction: Austria; Status: ongoing; Source meaning: The energy transition refers to the fundamental transformation of Austria's energy system, in which the expansion of photovoltaics plays a central and cross-sectoral role.",['06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'],1,6,,,,,,,
38ebf9b5-4c84-4ed3-a2ca-0ec6f1f31c97,BMK-AUSBILDUNGSINITIATIVE „JUST TRANSITION“,SUPPORT_SCHEME,"Training initiative by Austria’s BMK focusing on education and upskilling in photovoltaics, electrotechnology/installation, and roofing to provide necessary competencies for the energy transition.",['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],1,6,,,,,,,
0530cbd1-2c75-4fe8-b6b4-9907de9dc6ad,PV-TECHNOLOGIEN,TECHNOLOGY,"Photovoltaic technologies, including new and improved PV solutions and components, targeted by research, innovation, and industrial support measures.",['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],1,6,,,,,,,
4661c04f-c35d-4856-93fe-0d3308941205,ENERGIEGEMEINSCHAFTEN (EGS),STAKEHOLDER,"Energy Communities (EGs) are collective models in Austria enabling joint photovoltaic expansion, shared production and use of renewable energy, and participation in energy markets.",['05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5'],1,6,,,,,,,
