source,target,description,weight
ÖSTERREICH,"JÄHRLICHER PV-ZUBAU — 2,5 GW (ÖSTERREICH, 2023)",[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] Austria's annual PV capacity expansion is measured at approximately 2.5 GW in 2023.,10.0
PHOTOVOLTAIK,"JÄHRLICHER PV-ZUBAU — 2,5 GW (ÖSTERREICH, 2023)",[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] The metric concerns annual photovoltaic capacity expansion in Austria for 2023.,10.0
ERNEUERBARE ENERGIEN,100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Renewable energies are the basis for the nationally balanced 100 percent renewable electricity objective for 2030.,10.0
ERNEUERBARE ENERGIEN IN ÖSTERREICH 2023 — STIMMUNGSBAROMETER,ÖSTERREICHISCHE BEVÖLKERUNG,[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] The sentiment barometer specifically surveys the Austrian population on attitudes toward renewables.,10.0
ZUSCHLÄGE BEI INNOVATIVEN ANLAGENFORMEN,ERNEUERBAREN-AUSBAU-GESETZ (EAG),[RELATION_TYPE=IMPLEMENTED_BY] [MODALITY=EXPLICIT_FACT] Financial premiums for innovative PV system types are implemented via the Renewable Expansion Act (EAG).,10.0
DIGITALISIERUNG DER MARKTKOMMUNIKATION,PV-ANLAGENBETREIBER:INNEN,[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] The digitalization of market communication supports PV system operators' participation in energy markets individually or in pooled form.,10.0
NIEDRIGE ODER NEGATIVE STROMPREISE BEI STARKER PV-ERZEUGUNG,PHOTOVOLTAIK,[RELATION_TYPE=CONSTRAINS] [MODALITY=EXPLICIT_FACT] Periods of high PV generation and low/negative electricity prices constrain PV value and present challenges for the electricity system.,10.0
HAUSHALT,ENERGIEMANAGEMENTLÖSUNGEN FÜR HAUSHALT UND UNTERNEHMEN,[RELATION_TYPE=ASSOCIATED_WITH] [MODALITY=EXPLICIT_FACT] Households are targeted users of energy-management solutions to improve their energy usage and participation in the energy transition.,10.0
INNOVATIVE BEITRÄGE DER PHOTOVOLTAIK ZUM ENERGIESYSTEMUMBAU,PHOTOVOLTAIK,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Photovoltaics are envisioned to make innovative contributions to transforming Austria's energy system.,10.0
WIRTSCHAFTLICHER BETRIEB VON PHOTOVOLTAIK-ANLAGEN,PHOTOVOLTAIK-ANLAGE,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] The economical operation of PV installations is connected to the expanded and sustainable deployment of photovoltaic systems.,10.0
PARTIZIPATION DER BÜRGER:INNEN,PHOTOVOLTAIK,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Increased citizen participation is named as a strategic target for PV policy.,10.0
HOHE HEIMISCHE WERTSCHÖPFUNG DURCH PHOTOVOLTAIK,PHOTOVOLTAIK,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] High domestic value creation is highlighted as a desired outcome of national PV expansion.,10.0
PHOTOVOLTAIK-STRATEGIE,PV-AUSBAU VON MINDESTENS 11 TWH BIS 2030,[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=OFFICIAL] The Austrian PV Strategy defines a PV expansion target of at least 11 TWh by 2030.,10.0
ERNEUERBAREN-AUSBAU-GESETZ (EAG),PV-AUSBAU VON MINDESTENS 11 TWH BIS 2030,[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=OFFICIAL] The EAG establishes the target for at least 11 TWh PV expansion by 2030.,10.0
ERNEUERBAREN-AUSBAU-GESETZ (EAG),100% NATIONAL BILANZIERTER ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=OFFICIAL] The EAG sets the target to cover total national electricity consumption with renewable energy on a balance-sheet basis by 2030.,10.0
ÖSTERREICH,PV-AUSBAU VON MINDESTENS 11 TWH BIS 2030,[RELATION_TYPE=HAS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=OFFICIAL] Austria is the geographic scope of the at least 11 TWh PV expansion target by 2030.,10.0
UNTERNEHMEN,ENERGIEMANAGEMENTLÖSUNGEN FÜR HAUSHALT UND UNTERNEHMEN,[RELATION_TYPE=ASSOCIATED_WITH] [MODALITY=EXPLICIT_FACT] Companies are users of smart energy-management solutions within Austria’s energy system transformation.,10.0
FLEXIBILITÄTEN INKLUSIVE SPEICHER,PHOTOVOLTAIK,"[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] Flexibility options, including storage, support the integration and system value of photovoltaics in Austria.",10.0
BÜRGER:INNEN ALS AKTIVE KUND:INNEN,AKTIVE KUND:INNEN,[RELATION_TYPE=ALIAS_OF] [MODALITY=EXPLICIT_FACT] Citizens acting as active customers essentially refer to citizens participating actively in the energy system.,10.0
"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK)",ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,[RELATION_TYPE=RESPONSIBLE_FOR] [MODALITY=EXPLICIT_FACT] The BMK is listed as the publisher and issuer of the Austrian Photovoltaic Strategy.,10.0
FLEXIBILITÄTSANGEBOT UND -NACHFRAGE,FLEXIBILITÄTEN INKLUSIVE SPEICHER,"[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] The supply and demand for flexibility is a reported metric in the Austrian electricity system, involving flexible technologies including storage.",10.0
PV-ANLAGEN,"PV-GENERATION — 6.3 TWH (ÖSTERREICH, 2023)",[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] PV systems generated approximately 6.3 TWh in 2023.,10.0
PHOTOVOLTAIK,"PV-GENERATION — 6.3 TWH (ÖSTERREICH, 2023)",[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] The metric reports PV electricity generation for 2023.,10.0
ÖSTERREICH,"PV-FÖRDERUNG — 600 MIO. EUR (ÖSTERREICH, 2023)","[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] In 2023, Austria allocated approximately 600 million EUR for PV expansion under EAG and the Climate and Energy Fund.",10.0
EU-ERNEUERBAREN-RICHTLINIE (RED III),"ANTEIL ERNEUERBARER ENERGIEN AM GESAMTENERGIEVERBRAUCH — 42,5% BIS 2030 (EU)",[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=OFFICIAL] RED III sets the new minimum target for the share of renewables in EU energy consumption at 42.5% by 2030.,10.0
ENERGIEMANAGEMENTLÖSUNGEN FÜR HAUSHALT UND UNTERNEHMEN,BÜRGER:INNEN,[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] Smart energy-management solutions for households and companies reduce hurdles for citizens’ active participation in the energy transition.,10.0
BÜRGER:INNEN,AKTIVE KUND:INNEN,[RELATION_TYPE=ASSOCIATED_WITH] [MODALITY=EXPLICIT_FACT] Citizens can become active customers by owning storage or generation installations and sharing energy or jointly consuming communal renewable energy.,10.0
AKTIVE KUND:INNEN,GEMEINSCHAFTLICHE ERZEUGUNGSANLAGEN (GEA),[RELATION_TYPE=CAN_USE] [MODALITY=EXPLICIT_FACT] [STATUS=PLANNED] Active customers will be able to jointly use energy generated in communal installations.,10.0
KOSTENDEGRESSION DER PHOTOVOLTAISCHEN KOMPONENTEN,PHOTOVOLTAIK,[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] The cost degression of PV components is a contributing factor to PV adoption.,10.0
FÖRDERSYSTEM FÜR PHOTOVOLTAIK,PHOTOVOLTAIK,[RELATION_TYPE=SUPPORTS] [MODALITY=EXPLICIT_FACT] The expansion and optimization of the support system has promoted PV deployment in Austria.,10.0
BÜROKRATISCHE HÜRDEN,PHOTOVOLTAIK,[RELATION_TYPE=CONSTRAINS] [MODALITY=EXPLICIT_FACT] Bureaucratic hurdles have acted as a constraint on PV deployment but are being progressively reduced.,10.0
PHOTOVOLTAIK,KLIMANEUTRALITÄT,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Photovoltaics is identified as a key technology for achieving climate neutrality.,10.0
PHOTOVOLTAIK,PHOTOVOLTAIKANTEIL AN DER STROMVERSORGUNG — CA. 10 % (AKTUELL),[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] The current share of photovoltaics in Austria’s electricity supply is approximately 10%.,10.0
ÖSTERREICH,PHOTOVOLTAIKANTEIL AN DER STROMVERSORGUNG — CA. 10 % (AKTUELL),[RELATION_TYPE=MEASURED_BY] [MODALITY=EXPLICIT_FACT] Austria’s electricity supply presently includes approximately 10% from photovoltaics.,10.0
ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,FÖRDERSYSTEM FÜR PHOTOVOLTAIK,[RELATION_TYPE=PROPOSES] [MODALITY=EXPLICIT_FACT] The Austrian Photovoltaic Strategy recommends expansion and optimization of the PV support system.,10.0
