fact_id,category,source_section,source_fact,expected_entities,expected_relationship,pilot1_text_unit_capture,pilot1_entity_capture,pilot1_relationship_capture,community_report_capture,pilot1_overall_classification,pilot1_audit_notes,pilot1_text_unit_evidence,pilot2_text_unit_capture,pilot2_text_unit_evidence,pilot2_entity_capture,pilot2_entity_evidence,pilot2_relationship_capture,pilot2_relationship_evidence,pilot2_overall_classification,pilot2_audit_notes
M01,MARKET_NUMERICAL,Section 2 — Introduction,Austria reached 6.3 TWh of PV generation in 2023.,Austria; PV Generation; 6.3 TWh; 2023,Austria MEASURED_BY 6.3 TWh PV generation in 2023,YES,PARTIAL,MISSING,,ENTITY_ONLY,"Photovoltaics and Austria were extracted, but 6.3 TWh of PV generation in 2023 was not represented as a dedicated structured market-metric entity. Relationship assessment: No relationship represents Austria reaching 6.3 TWh of PV generation in 2023.","Chunk 2, Chunk 3",YES,"Chunk 2, Chunk 3",FULL,,FULL,,FULLY_STRUCTURED,"Pilot 2 extracted the 6.3 TWh PV-generation metric, Austria, Photovoltaics and the year 2023, with a relationship representing the measured PV-generation result."
M02,MARKET_NUMERICAL,Section 4 — PV Expansion Potential,Approximately 2.5 GW of new photovoltaic capacity was installed in Austria in 2023.,Austria; Annual PV Expansion; 2.5 GW; 2023,Annual PV Expansion MEASURED_BY 2.5 GW in 2023,YES,PARTIAL,MISSING,,ENTITY_ONLY,"PV expansion and Austria were represented generally, but the 2.5 GW addition in 2023 was not represented as a structured metric with value, unit and year. Relationship assessment: No relationship represents approximately 2.5 GW of new PV capacity in 2023.","Chunk 1, Chunk 5",YES,"Chunk 1, Chunk 5",FULL,,FULL,,FULLY_STRUCTURED,Pilot 2 extracted the annual PV-capacity addition of approximately 2.5 GW in Austria in 2023 and represented it through an explicit measured relationship.
M03,MARKET_NUMERICAL,Section 4 — PV Expansion Potential,One GW of new photovoltaic capacity was installed in Austria in 2022.,Austria; Annual PV Expansion; 1 GW; 2022,Annual PV Expansion MEASURED_BY 1 GW in 2022,YES,PARTIAL,MISSING,,ENTITY_ONLY,"Photovoltaic expansion was represented generally, but the 1 GW addition in 2022 was not represented as a dedicated market-metric entity. Relationship assessment: No relationship represents 1 GW of new PV capacity in 2022.",Chunk 5,YES,Chunk 5,FULL,,FULL,,FULLY_STRUCTURED,Pilot 2 extracted the annual PV-capacity addition of 1 GW in Austria in 2022 and represented the numerical result through an explicit measured relationship.
M04,MARKET_NUMERICAL,Section 4 — PV Expansion Potential,The Integrated Austrian Network Infrastructure Plan identifies 41 TWh of photovoltaic generation potential by 2040.,Network Infrastructure Plan; Photovoltaics; 41 TWh; 2040,Network Infrastructure Plan HAS_TARGET 41 TWh PV by 2040,YES,PARTIAL,MISSING,,ENTITY_ONLY,"The Network Infrastructure Plan and Photovoltaics were extracted, but the 41 TWh by 2040 target was not represented as a dedicated target containing value, unit and deadline. Relationship assessment: The Network Infrastructure Plan and PV concepts have relationships, but no relationship preserves the 41 TWh target for 2040.","Chunk 1, Chunk 5, Chunk 10",YES,"Chunk 1, Chunk 5, Chunk 10",FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"Pilot 2 extracted the Integrated Austrian Network Infrastructure Plan, Photovoltaics and the 41 TWh by 2040 target. However, the meaning is distributed across relationships rather than represented as one direct NIP-to-target relationship."
M05,MARKET_NUMERICAL,Section 4 — PV Expansion Potential,At least approximately 15 TWh of the 2040 PV potential is considered achievable on existing and new buildings.,Buildings; PV Potential; 15 TWh; 2040,Buildings CONTRIBUTE_TO 15 TWh PV potential by 2040,YES,PARTIAL,MISSING,,ENTITY_ONLY,"Buildings and PV-related concepts were extracted, but the 15 TWh building potential was not represented as a structured metric or target. Relationship assessment: No relationship represents approximately 15 TWh of PV potential on existing and new buildings.",Chunk 5,YES,Chunk 5,FULL,,FULL,,FULLY_STRUCTURED,Pilot 2 extracted the building-based PV potential of approximately 15 TWh by 2040 and connected it to the broader 41 TWh photovoltaic potential.
M06,MARKET_NUMERICAL,Sections 4 and 5,An average expansion rate of approximately 2 GW per year is needed to reach the 2040 PV potential.,Annual PV Expansion; 2 GW per year; 2040,PV Expansion HAS_TARGET approximately 2 GW per year,YES,PARTIAL,MISSING,,ENTITY_ONLY,"PV expansion and the 2040 context appear in generated descriptions, but the required average rate of approximately 2 GW per year was not represented as a dedicated metric. Relationship assessment: No relationship represents the required average PV expansion rate of approximately 2 GW per year.","Chunk 5, Chunk 10",YES,"Chunk 5, Chunk 10",FULL,,MISSING,,ENTITY_ONLY,"The annual expansion target of approximately 2 GW per year and the 2040 PV potential are represented as entities, but no relationship directly connects the annual rate to achieving the 2040 potential."
M07,MARKET_NUMERICAL,Section 4 — PV Expansion Potential,The Transition 2040 scenario requires 21 TWh of photovoltaic electricity generation in 2030.,Transition 2040; Photovoltaics; 21 TWh; 2030,Transition 2040 HAS_TARGET 21 TWh PV generation in 2030,YES,PARTIAL,MISSING,,ENTITY_ONLY,"Transition 2040 and Photovoltaics were represented, but the 21 TWh requirement for 2030 was not represented as a structured target. Relationship assessment: No relationship represents the Transition 2040 requirement of 21 TWh of PV generation in 2030.",Chunk 5,YES,Chunk 5,FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"The Transition 2040 scenario and the 21 TWh PV-generation target for 2030 were extracted. However, the target is connected to Austria rather than directly to the Transition 2040 scenario, so the relationship provenance is only partially represented."
M08,MARKET_NUMERICAL,Section 4 — PV Expansion Potential,The 21 TWh requirement for 2030 represents an increase of 19 TWh compared with 2020.,PV Expansion; 19 TWh; 2020; 2030,PV Expansion MEASURED_BY 19 TWh increase from 2020 to 2030,YES,PARTIAL,MISSING,,ENTITY_ONLY,"PV expansion and the relevant years occur in generated output, but the 19 TWh increase between 2020 and 2030 was not represented as a structured market metric. Relationship assessment: No relationship represents the 19 TWh increase required between 2020 and 2030.",Chunk 5,YES,Chunk 5,FULL,,FULL,,FULLY_STRUCTURED,Pilot 2 extracted the 21 TWh requirement for 2030 and the required 19 TWh increase compared with 2020. A direct explicit-fact relationship connects the 21 TWh requirement with the 19 TWh increase.
M09,MARKET_NUMERICAL,Section 2 — Introduction,Approximately EUR 600 million was provided for PV expansion in 2023 through the Renewable Expansion Act and Climate and Energy Fund.,Renewable Expansion Act; Climate and Energy Fund; EUR 600 million; 2023,Renewable Expansion Act and Climate and Energy Fund SUPPORT PV expansion,YES,PARTIAL,MISSING,,ENTITY_ONLY,"The Renewable Expansion Act and Climate and Energy Fund were extracted, but the approximately EUR 600 million provided in 2023 was not represented as a dedicated funding-value entity. Relationship assessment: Relationships connect the Renewable Expansion Act and Climate and Energy Fund to PV support, but none preserves the approximately EUR 600 million funding value for 2023.",Chunk 2,YES,Chunk 2,FULL,,FULL,,FULLY_STRUCTURED,Pilot 2 extracted the EUR 600 million PV funding metric for Austria in 2023. Explicit FUNDS relationships connect both the Climate and Energy Fund and the Renewable Expansion Act to this funding metric.
M10,MARKET_NUMERICAL,Section 4 — PV Expansion Potential,"At the end of 2023, PV supplied almost 10% of Austria's final electricity consumption and approximately 2% of total energy demand.",Photovoltaics; Final Electricity Consumption; Energy Demand; 10%; 2%; 2023,Photovoltaics MEASURED_BY electricity and energy shares in 2023,YES,PARTIAL,MISSING,,ENTITY_ONLY,"Photovoltaics and Austrian energy concepts were extracted, but the approximately 10% electricity share and 2% total-energy share in 2023 were not represented as structured indicators. Relationship assessment: No relationship represents PV supplying almost 10% of final electricity consumption and approximately 2% of total energy demand at the end of 2023.",Chunk 5,YES,Chunk 5,FULL,,FULL,,FULLY_STRUCTURED,Pilot 2 extracted separate MARKET_METRIC entities for the approximately 10% share of final electricity consumption and approximately 2% share of total energy demand in Austria in 2023. Explicit MEASURED_BY relationships connect Austria and photovoltaics to these metrics.
T01,TECHNICAL,Section 6.2 — Energy Infrastructure,Digitalization of the distribution grid is important for integrating renewable and decentralized electricity.,Distribution Grid; Digitalization; Renewable Electricity,Digitalization SUPPORTS renewable-electricity grid integration,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"The distribution grid was extracted, but digitalization specifically as a technical enabler of decentralized renewable integration was not represented as a complete controlled entity structure. Relationship assessment: The distribution grid is connected to the broader electricity grid, and digitalization appears in other relationships. However, the specific relationship that distribution-grid digitalization supports decentralized renewable integration is missing.",Chunk 9,YES,Chunk 9,FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"Pilot 2 extracted DIGITALISIERUNG, STROMNETZ, VERTEILNETZ and decentralized-energy concepts. It also created a SUPPORTS relationship from DIGITALISIERUNG to STROMNETZ. However, the complete source claim linking digitalization of the distribution grid specifically to the integration of renewable and decentralized electricity is distributed across multiple graph records rather than represented as one complete relationship."
T02,TECHNICAL,Section 6.2 — Energy Infrastructure,Photovoltaic generation peaks can no longer always be completely absorbed by the public electricity grid.,PV Generation Peaks; Public Electricity Grid,Public Electricity Grid CONSTRAINS PV generation peaks,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"The electricity grid and Photovoltaics were extracted, but PV generation peaks and the grid's inability to absorb them completely were not represented as dedicated entities. Relationship assessment: The grid is connected to smart energy management and storage solutions for handling PV generation. However, the explicit fact that PV peaks can no longer always be completely absorbed by the public grid is not preserved.",Chunk 9,YES,Chunk 9,FULL,,FULL,,FULLY_STRUCTURED,Pilot 2 extracted photovoltaic generation peaks as a CONSTRAINT and the electricity grid as INFRASTRUCTURE. An explicit CONSTRAINS relationship connects PHOTOVOLTAIK-ERZEUGUNGSSPITZEN to STROMNETZ.
T03,TECHNICAL,Section 6.2 — Energy Infrastructure,Smart local energy management and storage can manage generation and consumption peaks and increase self-consumption.,Energy Management; Energy Storage; Self-Consumption,Energy Management and Storage SUPPORT peak management and self-consumption,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"Smart local energy management and storage-related concepts were extracted, but self-consumption and generation/consumption peak management were not fully represented as separate concepts. Relationship assessment: Smart local energy management is connected to the grid and customer installations for balancing and PV optimization. Storage and self-consumption are not completely preserved in one supported relationship.",Chunk 9,YES,Chunk 9,FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"Pilot 2 extracted smart energy management, storage technologies, peak prevention and self-consumption concepts. It also extracted relationships connecting energy-management systems and storage to the prevention of feed-in and load peaks. However, the complete source claim—including both peak management and increased self-consumption—is distributed across several records rather than represented by one complete relationship."
T04,TECHNICAL,Section 6.2 — Energy Infrastructure,"PV should operate synergistically with electric mobility, heat pumps, hydrogen and other generation and storage technologies.",Photovoltaics; E-Mobility; Heat Pumps; Hydrogen; Storage,Photovoltaics INTEGRATES_WITH other energy technologies,YES,FULL,PARTIAL,,PARTIALLY_STRUCTURED,"Photovoltaics, e-mobility, heat pumps, hydrogen and storage-related technologies were extracted. The essential technical concepts are present, although several received unsuitable generic GraphRAG types. Relationship assessment: Photovoltaics has separate relationships with some energy technologies, including hydrogen-related systems. The complete synergistic integration with e-mobility, heat pumps, hydrogen and storage is fragmented rather than represented as one fact.",Chunk 9,YES,Chunk 9,PARTIAL,,MISSING,,ENTITY_ONLY,"Pilot 2 extracted Photovoltaics, e-mobility, and hydrogen as TECHNOLOGY entities. However, heat pumps and sector coupling were not identified in the displayed candidates, and no relationship represents the stated synergistic operation among these technologies."
T05,TECHNICAL,Section 6.2 — Energy Infrastructure,East-west-oriented and vertical PV installations can provide higher PV yields during shoulder and winter periods.,East-West PV; Vertical PV; Winter Yield,PV Orientation CONTRIBUTES_TO broader generation periods,YES,MISSING,MISSING,,MISSING_FROM_GRAPH,"General PV concepts were extracted, but neither east-west-oriented PV nor vertical PV was represented as a dedicated entity. The specific technical approach for shoulder and winter generation was therefore missed at the entity level. Relationship assessment: No relationship represents east-west-oriented or vertical PV installations as methods for improving generation during shoulder and winter periods.",Chunk 10,YES,Chunk 10,PARTIAL,,MISSING,,ENTITY_ONLY,"Pilot 2 extracted a general TECHNOLOGY entity for PV installations in different orientations. However, east-west orientation, vertical orientation, and their higher yields during shoulder and winter periods were not represented precisely. No relationship captures the seasonal yield benefit."
T06,TECHNICAL,Sections 6.1 and 6.4,Agri-PV enables combined agricultural and photovoltaic use and can increase land-use efficiency.,Agri-PV; Agriculture; Land-Use Efficiency,Agri-PV CONTRIBUTES_TO agricultural dual use,YES,PARTIAL,FULL,,RELATIONSHIP_TEXT_BUT_ENTITY_INCOMPLETE,"Agri-PV installations were extracted, but agricultural dual use and land-use efficiency were not represented as complete controlled concepts. Agri-PV was also typed as ORGANIZATION. Relationship assessment: Relationships explicitly represent Agri-PV as combined agricultural and photovoltaic land use and mention improved land-use efficiency. The essential source meaning is preserved.","Chunk 7, Chunk 8",YES,"Chunk 7, Chunk 8",FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"Pilot 2 extracted Agri-PV, agriculture, farmers, dual land use, and several relevant relationships. It clearly represents the combination of agricultural and photovoltaic use. However, the specific claim that Agri-PV increases land-use efficiency is not represented as a precise direct relationship."
T07,TECHNICAL,Section 6.4 — Acceptance,Open-space PV installations should be designed as biodiversity installations in accordance with defined ecological criteria.,Open-Space PV; Biodiversity PV; Ecological Criteria,Open-Space PV IMPLEMENTS biodiversity criteria,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"Open-space PV and several biodiversity-PV concepts were extracted, but the requirement to follow defined ecological criteria was not represented as a separate controlled concept. Relationship assessment: Relationships connect open-space PV with biodiversity installations and ecological enhancement. However, the requirement to follow defined ecological criteria is not fully preserved.","Chunk 7, Chunk 11",YES,"Chunk 7, Chunk 11",FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"Pilot 2 extracted open-space PV installations, biodiversity PV installations, biodiversity and nature-protection concepts. It also connected FREIFLÄCHENANLAGE with BIODIVERSITÄTS-PV-ANLAGE. However, the requirement to design installations according to defined ecological criteria was not represented completely as a structured relationship."
T08,TECHNICAL,Section 6.4 — Acceptance,PV systems should be installed on federal buildings wherever technically and economically possible.,Federal Buildings; PV Systems; Technical Feasibility; Economic Feasibility,Federal Buildings SUPPORT PV deployment when feasible,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"Federal buildings and PV systems were extracted, but the technical and economic feasibility conditions were not represented as structured constraints. Relationship assessment: Federal buildings are identified as targets for PV deployment, but the conditions that deployment should occur only where technically and economically feasible are missing.",Chunk 11,YES,Chunk 11,PARTIAL,,MISSING,,ENTITY_ONLY,"Pilot 2 extracted general PV-system, building, technical, and economic concepts, but it did not extract federal buildings as a distinct entity. It also did not represent the complete relationship stating that PV systems should be installed on federal buildings wherever technically and economically possible."
T09,TECHNICAL,Section 6.7 — Participation,"Energy communities should be further developed using storage, consumption flexibility, real-time monitoring and control.",Energy Communities; Storage; Flexibility; Real-Time Monitoring,Storage and Flexibility SUPPORT development of Energy Communities,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"Energy communities, storage and flexibility concepts were extracted, but real-time operational monitoring and the complete implementation combination were not represented as structured entities. Relationship assessment: Energy communities are connected to PV and shared storage, but the complete combination of storage, consumption flexibility, real-time monitoring and control is not represented.",Chunk 15,YES,Chunk 15,FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"Pilot 2 extracted energy communities, storage, flexible consumers, flexibility incentives and related concepts. Several relevant relationships were extracted, but the complete source statement connecting energy communities with storage, consumption flexibility and real-time mechanisms was not represented as one explicit structured relationship."
T10,TECHNICAL,Section 6.6 — Research and Innovation,"PV research should address resource efficiency, durability, repairability, reuse and recycling of PV components.",PV Research; Resource Efficiency; Durability; Repair; Reuse; Recycling,PV Research CONTRIBUTES_TO PV circular economy,YES,PARTIAL,PARTIAL,,PARTIALLY_STRUCTURED,"PV circular economy and repair were extracted, but resource efficiency, durability, reuse and recycling were not all represented as separate controlled concepts. Relationship assessment: PV circular economy, repair and recycling appear in relationships, but resource efficiency, durability, reuse and the full research objective are not represented together.",Chunk 14,YES,Chunk 14,FULL,,PARTIAL,,PARTIALLY_STRUCTURED,"Pilot 2 extracted research and innovation, circular economy, resource efficiency, durability, repair, recycling and related PV concepts. Several supporting relationships were generated, but the complete source statement was distributed across multiple entities and relationships rather than represented as one precise relationship connecting PV research to all stated objectives."
